person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,PD,Risk_Tier,EAD,LGD,Expected_Loss
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,0.9920518360163442,High,35000,0.45,15624.81641725742
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.046436503349503194,Low,1000,0.45,20.896426507276438
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.9931336773695287,High,5500,0.45,2458.0058514895836
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.9075761287105544,High,35000,0.45,14294.324027191231
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.9243776724236467,High,35000,0.45,14558.948340672436
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.09746632455444328,Medium,2500,0.45,109.64961512374869
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.5812465727125613,High,35000,0.45,9154.63352022284
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.6574157719093144,High,35000,0.45,10354.298407571703
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.4142879476971225,High,35000,0.45,6525.03517622968
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.440774089983578,High,1600,0.45,317.3573447881762
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.3244167382209363,High,35000,0.45,5109.563626979747
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.822009096068774,High,4500,0.45,1664.5684195392673
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.15648396391741817,High,35000,0.45,2464.622431699336
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.8385299133564403,High,35000,0.45,13206.846135363934
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.10488945020492388,Medium,35000,0.45,1652.0088407275512
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.016406173281703074,Low,30000,0.45,221.48333930299148
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.09376213693806179,Medium,35000,0.45,1476.7536567744733
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.9346733501343623,High,35000,0.45,14721.105264616206
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.8628691296314992,High,35000,0.45,13590.188791696111
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.32042052948385485,High,1750,0.45,252.3311669685357
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.026563570592819157,Low,35000,0.45,418.37623683690174
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.7157431858266801,High,34800,0.45,11208.538290045812
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.9810678361444742,High,34000,0.45,15010.337893010457
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.0527671585463939,Medium,1500,0.45,35.61783201881588
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.9381098502865005,High,33950,0.45,14331.973237752012
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.8939655965569052,High,33000,0.45,13275.389108870044
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.9928626553868103,High,4575,0.45,2044.0559917775956
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.05432017430833687,Medium,1400,0.45,34.22170981425223
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.8727897274603943,High,32500,0.45,12764.549764108266
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.8827100709780192,High,4000,0.45,1588.8781277604346
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.15543493860727667,High,2000,0.45,139.89144474654898
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.060670609764029826,Medium,32000,0.45,873.6567806020296
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.6078587112110996,High,31050,0.45,8493.30584239709
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.09445859819061929,Medium,24250,0.45,1030.779452755133
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.12089133826260852,Medium,7800,0.45,424.3285973017559
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.09234028310507704,Medium,2500,0.45,103.88281849321166
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.9977886464287475,High,30000,0.45,13470.14672678809
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.9844339278546149,High,30000,0.45,13289.858026037302
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.9754398805489941,High,30000,0.45,13168.438387411421
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,0.9617846804501045,High,30000,0.45,12984.09318607641
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.9779816997597032,High,30000,0.45,13202.752946755993
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.11044377875738567,Medium,2500,0.45,124.24925110205889
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.010493786014288046,Low,20000,0.45,94.44407412859242
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.11736593231469705,Medium,24250,0.45,1280.7557363841315
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.020047403293041565,Low,10000,0.45,90.21331481868705
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.18635814800542327,High,25000,0.45,2096.529165061012
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.5599237422198824,High,18000,0.45,4535.382311981048
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.3597615816230943,High,30000,0.45,4856.781351911773
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.6251265554380806,High,30000,0.45,8439.20849841409
